,기간,수출금액,수입금액,미국수출금액,미국수입금액
0,2019-01,46168934,45153389,6209466,5290688
1,2019-02,39481803,36651437,5442457,4371194
2,2019-03,47003206,41992349,6319152,5022184
3,2019-04,48781156,45047164,6158443,5585755
4,2019-05,45703948,43619667,6500301,5512696
5,2019-06,44008404,40104812,6249176,4671519
6,2019-07,46078221,43762245,6113230,5383261
7,2019-08,44020065,42457250,5619803,5175083
8,2019-09,44629053,38741473,5690676,4758785
9,2019-10,46648756,41396517,6357758,4963127
10,2019-11,44040722,40729215,6265034,5273129
11,2019-12,45668341,43687430,6418400,5871143
12,2020-01,43103061,42718100,5740347,5577076
13,2020-02,40911819,36977247,5931572,5435012
14,2020-03,46167204,41803860,7281215,5371871
15,2020-04,36270183,37932611,5277226,5041816
16,2020-05,34854511,34661974,4589358,4292824
17,2020-06,39214071,35794860,5735515,4597451
18,2020-07,42785144,38849185,6596979,4445079
19,2020-08,39469231,35817929,5581925,4614340
20,2020-09,47819948,39400190,6997554,4654363
21,2020-10,44818534,39093795,6562209,4363458
22,2020-11,45751883,39944763,6664272,4188104
23,2020-12,51332449,44638246,7157647,4910784
24,2021-01,48006974,44456822,8412355,5018162
25,2021-02,44706907,42404636,6396235,5761028
26,2021-03,53690914,49742555,7970756,6221033
27,2021-04,51225991,50891152,7557229,6440357
28,2021-05,50725161,47910522,7448016,6436130
29,2021-06,54778905,50429027,8717226,6489351
30,2021-07,55461518,53676256,8724016,6339477
31,2021-08,53165104,51581093,7704224,6210232
32,2021-09,55913862,51636341,7983934,5959730
33,2021-10,55660373,53847824,8066783,5995841
34,2021-11,60330542,57357549,8133640,6640496
35,2021-12,60734117,61159671,8787542,5701577
36,2022-01,55460865,60363481,8571296,7095110
37,2022-02,54154313,53133762,7742876,5960835
38,2022-03,63785078,63593038,9639298,6994664
39,2022-04,57849157,60326206,9603983,6604273
40,2022-05,61579891,63194249,9608829,7196330
41,2022-06,57625856,60200435,9776635,6779151
